age,name,joined,email,password,phone
32,Amy,1/1/16,amy@amy.com,password,919-111-1111
21,Bob,2016-02,bob@bob@bob.com,123456,9192223333
65,Cindy,2/3/2016,cindy@cindy,monkey,(919)333-444
78,Dan,13/03/2016,dan-dan.dan@dan.dan.com,Password123,919.444.5555
29,Elaine,442016,e23@compuserve.net,dog2CAT@,(1)2-3
43,Frank,2016-07-07,me@prodigy.com,C a 4 % t J,(919) 555-6666
31,Ginny,Yesterday,iloveninja@turtles.io,qwerty,000-000-0000
38,Gloria,9/8/2016,gloria@gmail.com,Om43tz,210-432-4231
34,Serena,10-21-2016,serena@gmail.com,32afew3H!,903.656.8897
